filename,track_len
cell_00925.csv,34
cell_00926.csv,3
cell_00927.csv,3
cell_00928.csv,1
cell_00929.csv,202
cell_00930.csv,1
cell_00931.csv,18
cell_00932.csv,10
cell_00933.csv,27
cell_00934.csv,19
cell_00935.csv,231
cell_00936.csv,27
cell_00937.csv,109
cell_00938.csv,3
cell_00939.csv,5
cell_00940.csv,45
cell_00941.csv,17
cell_00942.csv,6
cell_00943.csv,193
cell_00944.csv,25
cell_00945.csv,2
cell_00946.csv,15
cell_00947.csv,32
cell_00948.csv,182
cell_00949.csv,71
cell_00950.csv,1
cell_00951.csv,111
cell_00952.csv,56
cell_00953.csv,21
cell_00954.csv,89
cell_00955.csv,59
cell_00956.csv,187
cell_00957.csv,38
cell_00958.csv,1
cell_00959.csv,3
cell_00960.csv,6
cell_00961.csv,12
cell_00962.csv,5
cell_00963.csv,21
cell_00964.csv,2
cell_00965.csv,109
cell_00966.csv,10
cell_00967.csv,96
cell_00968.csv,299
cell_00969.csv,3
cell_00970.csv,3
cell_00971.csv,10
cell_00972.csv,4
cell_00973.csv,20
cell_00974.csv,1
cell_00975.csv,7
cell_00976.csv,181
cell_00977.csv,2
cell_00978.csv,8
cell_00979.csv,5
cell_00980.csv,30
cell_00981.csv,47
cell_00982.csv,5
cell_00983.csv,4
cell_00984.csv,103
cell_00985.csv,39
cell_00986.csv,47
cell_00987.csv,26
cell_00988.csv,36
cell_00989.csv,213
cell_00990.csv,185
cell_00991.csv,11
cell_00992.csv,5
cell_00993.csv,319
cell_00994.csv,16
cell_00995.csv,122
cell_00996.csv,410
cell_00997.csv,14
cell_00998.csv,238
cell_00999.csv,5
cell_01000.csv,112
cell_01001.csv,8
cell_01002.csv,22
cell_01003.csv,32
cell_01004.csv,8
cell_01005.csv,124
cell_01006.csv,42
cell_01007.csv,5
cell_01008.csv,2
cell_01009.csv,101
cell_01010.csv,9
cell_01011.csv,5
cell_01012.csv,161
cell_01013.csv,20
cell_01014.csv,2
cell_01015.csv,28
cell_01016.csv,7
cell_01017.csv,9
cell_01018.csv,3
cell_01019.csv,24
cell_01020.csv,5
cell_01021.csv,10
cell_01022.csv,42
cell_01023.csv,21
cell_01024.csv,4
cell_01025.csv,8
cell_01026.csv,21
cell_01027.csv,15
cell_01028.csv,42
cell_01029.csv,8
cell_01030.csv,10
cell_01031.csv,9
cell_01032.csv,32
cell_01033.csv,1
cell_01034.csv,2
cell_01035.csv,4
cell_01036.csv,15
cell_01037.csv,46
cell_01038.csv,6
cell_01039.csv,13
cell_01040.csv,3
cell_01041.csv,12
cell_01042.csv,7
cell_01043.csv,6
cell_01044.csv,44
cell_01045.csv,7
cell_01046.csv,40
cell_01047.csv,109
cell_01048.csv,49
cell_01049.csv,17
cell_01050.csv,11
cell_01051.csv,30
cell_01052.csv,7
cell_01053.csv,1
cell_01054.csv,4
cell_01055.csv,7
cell_01056.csv,2
cell_01057.csv,42
cell_01058.csv,2
cell_01059.csv,138
cell_01060.csv,122
cell_01061.csv,184
cell_01062.csv,4
cell_01063.csv,4
cell_01064.csv,184
cell_01065.csv,61
cell_01066.csv,17
cell_01067.csv,45
cell_01068.csv,286
cell_01069.csv,90
cell_01070.csv,2
cell_01071.csv,29
cell_01072.csv,261
cell_01073.csv,45
cell_01074.csv,234
cell_01075.csv,22
cell_01076.csv,222
cell_01077.csv,8
cell_01078.csv,11
cell_01079.csv,10
cell_01080.csv,10
cell_01081.csv,9
cell_01082.csv,204
cell_01083.csv,52
cell_01084.csv,12
cell_01085.csv,261
cell_01086.csv,282
cell_01087.csv,76
cell_01088.csv,8
cell_01089.csv,373
